,Price,Returns,Lagged_Returns
others_cr,1.0,0.05948410340700935,0.15516463029201155
trend_ichimoku_b,0.9866079660984347,0.14056290979211333,0.1387459242031195
volatility_dch,0.9866079660984346,0.14056290979211308,0.1387459242031195
trend_ema_fast,0.9751188821115909,0.1902281154154254,0.11094189719842629
momentum_kama,0.9741308689930227,0.20360819011139117,0.13864173533860447
volume_vpt,0.9740098019806145,0.0330786963152044,0.15667735873825794
trend_ichimoku_conv,0.9678547453768381,0.14427526107639352,0.09822740499606096
trend_ichimoku_a,0.9672156089805267,0.15513586847966573,0.1266616427227593
volatility_kch,0.9665516868219166,0.19804502207474972,0.10313819053600065
trend_ema_slow,0.9648857737104058,0.18388965851768369,0.10357136302653164
volatility_kcc,0.9632707549709306,0.1983980299262,0.10075036669077322
volatility_dcm,0.9625856181011428,0.14096410907002951,0.11670786529851254
volatility_bbh,0.9625597975383485,0.20921972545803774,0.15894411179629575
trend_sma_fast,0.9622154242181268,0.19168417083924466,0.10573586251188126
volume_nvi,0.9617539516170863,0.091009816356353,0.09631613887285224
volatility_kcl,0.9593241444079623,0.1985408579008657,0.09846097729771937
volume_vwap,0.9587710619135722,0.192834725465075,0.1167791588088956
trend_kst,0.948987035644595,0.18717394967692585,0.09572312378990785
trend_sma_slow,0.9482473451755608,0.18552829070263915,0.10412094495571073
volatility_bbm,0.9467897012569242,0.17863343377260693,0.09438417990698383
trend_ichimoku_base,0.9436570930734385,0.1657477479200524,0.16221073343240644
trend_psar_up,0.938475192507899,0.19060028263253825,0.06959219087300972
trend_kst_sig,0.9347745361739201,0.16707558174453366,0.07437081538902968
trend_aroon_up,0.9326861876005844,0.13431868726243754,0.11439241018214287
momentum_ao,0.9281514657361425,0.23661261898294247,0.16033169135492484
trend_macd_signal,0.919932686828962,0.20338112563104715,0.07779694380398934
trend_aroon_ind,0.9168706638785505,0.14745273254746252,0.12759712047575808
trend_mass_index,0.913529141009856,0.16409188828249827,0.02154026348795887
momentum_pvo_signal,0.8980842250354222,0.08362920832357944,0.031084312386643845
trend_macd,0.8969653225215767,0.19886410926560033,0.13557495123444935
momentum_ppo_signal,0.8962468128872858,0.20076195015393,0.06783130287954091
trend_trix,0.8956427273110483,0.19337015419948406,0.06288247212233629
volatility_dcl,0.8670021139937858,0.13132337527863228,0.08277927132677915
trend_adx_pos,0.8641556596542779,0.1917605492962274,0.10045550343707979
momentum_ppo,0.8461641355405157,0.1924490926024748,0.12748382883157303
trend_vortex_ind_pos,0.843699182784032,0.0909272029711222,0.10527618354399741
trend_adx_neg,0.8183511488574148,0.2761178546581834,0.05289441359319104
volatility_kcw,0.8152715389406135,0.18636688566165427,0.056281647791506906
volatility_bbl,0.8116357321193897,0.12158429355387698,0.007400265070092019
momentum_stoch_rsi_k,0.8012965175916358,0.16497343018998442,0.18205308233415826
trend_vortex_ind_neg,0.7953230413962488,0.14595689052760843,0.08006983283590399
momentum_stoch_rsi_d,0.7926491294452698,0.2527397557068601,0.22757047868545216
momentum_tsi,0.7811160700904717,0.09613600496818048,0.17627305094421522
volume_cmf,0.7613713589034331,0.2569374032272578,0.09443108275328896
trend_adx,0.7541841884049888,0.12349605466577959,0.08467283291132308
trend_stc,0.748077948294478,0.03715534089390837,0.06458426170837256
volume_obv,0.745371151285441,0.1771274465797653,0.19436458059644862
trend_psar_down,0.7359688658941649,0.06911813644281763,0.0053837475593326994
momentum_stoch_rsi,0.7160563900424057,0.11637232559178615,0.07449567929194556
volatility_ui,0.706295922088884,0.026866666829555342,0.21886196534640495
