,Price,Returns,Lagged_Returns
volume_adi,0.8040568516985557,0.008795333015084575,-0.03683396724502807
volume_obv,0.9723772175510459,-0.02160618251864632,-0.035082757939201695
volume_vpt,0.9732171700992619,-0.023971065673360888,-0.03590845740150966
volume_vwap,0.9970351280615752,-0.037614294737316784,-0.04254221845663843
volume_nvi,-0.8687291390504401,0.022730732796384136,0.014547467033649071
volatility_bbm,0.9946789472845348,-0.04083216221185362,-0.04312445755376876
volatility_bbh,0.9915008419055872,-0.04191027725332805,-0.044406210257246975
volatility_bbl,0.9935059290640912,-0.039390721780878234,-0.04143697793480333
volatility_kcc,0.997448191324647,-0.038726070507123275,-0.04176969895591654
volatility_kch,0.9972110296325041,-0.03891363045730686,-0.042012387164357845
volatility_kcl,0.9973982498432045,-0.038517004309472434,-0.04150168113648
volatility_dcl,0.9944538432505904,-0.036195141332541356,-0.04141068758527635
volatility_dch,0.9926367178297907,-0.037110985480842865,-0.043896250293050686
volatility_dcm,0.9950646892205328,-0.03674505339384658,-0.042812475305725704
volatility_atr,0.8626839262737644,-0.03761086280989471,-0.04391350284039596
trend_sma_fast,0.9970667235733559,-0.03859579486066889,-0.04193406103810628
trend_sma_slow,0.9927147031455332,-0.04220592532480822,-0.044087855399631566
trend_ema_fast,0.9978505235926499,-0.036535437400266935,-0.04234969024172588
trend_ema_slow,0.9946143686383307,-0.040267855382480726,-0.04330971718730237
trend_ichimoku_conv,0.9979437405596217,-0.03328097914540542,-0.041344078912086205
trend_ichimoku_base,0.9932916744525148,-0.038281157828915384,-0.04347595565278038
trend_ichimoku_a,0.9964371829062328,-0.035811378200384915,-0.04244533809598191
trend_ichimoku_b,0.9868821417665652,-0.039377798932475935,-0.0433448484926441
trend_visual_ichimoku_a,0.9624291995178321,-0.04740029460297356,-0.047300834729625194
trend_visual_ichimoku_b,0.95164491166515,-0.04955574489395154,-0.04966733006890996
trend_psar_up,0.9911244907122183,-0.04659723234114872,-0.043089092372279106
trend_psar_down,0.9900590350716023,-0.046598177958648894,-0.04339179027961252
momentum_kama,0.9977499802242468,-0.035748911694871384,-0.0416342250632907
others_cr,0.9999999999999968,-0.006396070914414407,-0.04074635765873332
