,Price,Returns,Lagged_Returns
others_cr,0.9999999999999978,0.005763031474681908,0.025927167772049405
trend_ema_fast,0.9985842951416538,0.019973704308730612,0.024895449727827663
trend_ichimoku_conv,0.9985691781909508,0.018898103132473018,0.0250882321262241
momentum_kama,0.9983304155648653,0.020462883466521465,0.024916114300859313
volatility_kcc,0.9982382482086808,0.022438544691374275,0.02482895630621111
volatility_kcl,0.9981748364938513,0.022699176051995274,0.025090803290885737
volatility_kch,0.998150111032311,0.022183037061414387,0.024571916306270668
trend_sma_fast,0.9980023771860027,0.022116577033820355,0.02474616773944841
volume_vwap,0.9978231094551052,0.02152891213139234,0.024410796410360227
trend_ichimoku_a,0.9977833300270684,0.019543899222800185,0.02453801520354649
volatility_dcm,0.9969413333181398,0.01942241475703366,0.023718703137158934
trend_ema_slow,0.9968359199602783,0.021357661495910125,0.023768572868490368
volatility_bbm,0.9966104595594482,0.022476884893531886,0.024111537383169138
volatility_dch,0.9962392560898856,0.01893787214608091,0.02381769056114794
trend_ichimoku_base,0.9960786165079406,0.020172856313386372,0.02396425777710966
volatility_dcl,0.9957487503151442,0.01991298906126086,0.02356410931231507
volatility_bbh,0.9957066015356344,0.02207337628280135,0.023941410506900046
trend_sma_slow,0.995555742812298,0.022695236287149565,0.024027487233638213
volatility_bbl,0.9951431793965398,0.022861074617131747,0.024237547765194992
trend_psar_up,0.9946611168919564,0.027660945114432716,0.023696757833601423
trend_psar_down,0.9944902734748114,0.027751857247898738,0.023408747279238203
trend_ichimoku_b,0.9934468671633743,0.018509462313055683,0.021386896526734013
trend_visual_ichimoku_a,0.9778835117094268,0.02074847560611739,0.02044186272597741
trend_visual_ichimoku_b,0.97509377190511,0.02207402841162897,0.02179531755105234
volume_obv,0.9549505663880063,0.00026427953516646564,0.023238338746762597
volume_vpt,0.8908165760678147,0.0012856990373205763,0.03718169242551106
volume_adi,0.8759667265259906,0.028288719036698103,0.0037080900553425836
volatility_atr,0.8333718132025316,0.009513961186606827,0.012642287624254064
volume_nvi,0.8269147799615444,0.0012390288964025974,0.016924113070116677
