,Price,Returns,Lagged_Returns
volume_adi,0.8148296589334759,0.019514581846073843,-0.032604370579309726
volume_obv,0.958294278650246,0.001392413186066847,-0.028270856477273495
volume_cmf,-0.028637031368544657,0.13744638599553707,0.018407149620437914
volume_fi,0.19879960504352112,0.29125477879435685,0.01845089911921624
volume_em,0.07539286323401595,0.631714626222321,0.03078673938230607
volume_sma_em,0.05419678823049001,0.1708670004716814,0.018412584884947653
volume_vpt,0.9623326743578372,0.004030102827942447,-0.018293530767263144
volume_vwap,0.994253596527634,-0.021214192131513994,-0.026738636979638006
volume_mfi,-0.006844227895491372,0.1846622749171853,0.01713057187815374
volume_nvi,-0.8989730847623983,0.026296717118503364,0.00563244522343973
volatility_bbm,0.9899058740607621,-0.02479295966915076,-0.02816654992496182
volatility_bbh,0.9844696767574719,-0.02776011621168239,-0.031029652583319835
volatility_bbl,0.9893486723864311,-0.02156261329219098,-0.024274134220533556
volatility_bbw,0.2286665593870851,5.780128244968475e-05,-0.014343325683885955
volatility_bbp,0.0408446565865901,0.42297241577828176,0.026397493632391925
volatility_bbhi,0.0025803981234431114,0.31792010688574185,0.024785561268365605
volatility_bbli,0.010805124573842625,-0.24767152199975165,-0.046630797765243814
volatility_kcc,0.9952009396807805,-0.021337614893314514,-0.025444913748365498
volatility_kch,0.9944406279156084,-0.022367335130375,-0.026058832961963985
volatility_kcl,0.9954796988833401,-0.01972897965430138,-0.024147649687460516
volatility_kcw,0.012716451605397422,-0.009435474052402327,-0.014824047351933385
volatility_kcp,0.057798302837837406,0.48670140804716006,0.02027288523156586
volatility_kchi,0.10486594664080946,0.3716204342647983,-0.004408544447735099
volatility_kcli,0.07021581075209393,-0.3463046833586363,-0.026657355509284563
volatility_dcl,0.9906216652139161,-0.01890206760161901,-0.024741945223581866
volatility_dch,0.98551440019678,-0.02464815133614671,-0.03141239540256924
volatility_dcm,0.9905149640775927,-0.022751496986781874,-0.029385170717879494
volatility_dcw,0.1837715367753282,-0.0001217649823539927,-0.018695132740968293
volatility_dcp,0.03663157024266553,0.39742809398037005,0.026587229572204933
volatility_atr,0.8553031675165057,-0.03094860272170888,-0.03743153004501798
volatility_ui,0.10254998737184387,-0.076501320544489,-0.03551755306164731
trend_macd,0.20200920705511233,0.07724233001010605,0.02267767517577901
trend_macd_signal,0.21387187778734065,0.02939273073662388,0.014114398304800962
trend_macd_diff,0.10089859795917594,0.1722689268576836,0.011753341361284628
trend_sma_fast,0.9945604453717019,-0.02082140124819785,-0.0256616615901956
trend_sma_slow,0.9858847918220283,-0.027078025181168672,-0.030109261033790698
trend_ema_fast,0.9958643781519443,-0.01888507729455631,-0.026977469465524248
trend_ema_slow,0.9896525670031583,-0.024831460709968126,-0.029264088771948568
trend_vortex_ind_pos,0.015190304031056869,0.16820546676145068,0.016993504110239296
trend_vortex_ind_neg,-0.09053172553764376,-0.17901097511316844,-0.006897080435664816
trend_vortex_ind_diff,0.05760809224009687,0.18013341453619755,0.01242095784791488
trend_trix,0.04041240506834757,0.03188694234362668,0.01995186897486721
trend_mass_index,0.05273952675983243,-0.020766693933541025,-0.02450602840979422
trend_dpo,-0.09623615900974676,-0.02261325518352548,0.005824716515257382
trend_kst,0.06975397113694308,0.04701171673257944,0.0270023258164725
trend_kst_sig,0.07467030373263384,0.02873109719716252,0.02469073296583125
trend_kst_diff,-0.029032289633763426,0.06333502250912015,0.008627274066968664
trend_ichimoku_conv,0.9960663866677907,-0.016374885953372047,-0.024752519582284582
trend_ichimoku_base,0.9865660744886474,-0.02523390648511572,-0.030474091571063004
trend_ichimoku_a,0.9930246092619301,-0.020895288539678345,-0.027658315822420766
trend_ichimoku_b,0.9724151884144401,-0.02750142551749246,-0.03153600950171808
trend_stc,0.0876211045960089,0.10140886793618262,0.016756410275446863
trend_adx,0.14272228556839536,0.012298631350512745,0.004590863665865902
trend_adx_pos,0.23874491764264866,0.22043638183746112,0.005184974358644948
trend_adx_neg,0.1735584052203627,-0.2043559919275504,-0.03926602005239861
trend_cci,0.035710068627094665,0.32616355543622166,0.01540879226842191
trend_visual_ichimoku_a,0.9360266129781771,-0.03591660095724202,-0.03623313512067286
trend_visual_ichimoku_b,0.9196618036180675,-0.03871597118964607,-0.03980492419838776
trend_aroon_up,0.028007694093021975,0.108609565401451,0.006383974531655826
trend_aroon_down,0.021221344224458105,-0.07901149336023908,-0.03928793044088637
trend_aroon_ind,0.016684580472101553,0.09707755843869477,0.026706218911215867
trend_psar_up,0.9832636051512061,-0.031159072418313474,-0.02651240067274271
trend_psar_down,0.982586275957996,-0.032860839715472205,-0.028604136572506697
trend_psar_up_indicator,-0.00615070612113743,0.2257389440158045,0.026453254088266768
trend_psar_down_indicator,-0.010411253595434627,-0.162827082172868,0.011995288607131052
momentum_rsi,0.03987664179781145,0.33832306948254276,0.03105518254644789
momentum_stoch_rsi,0.06128044282050404,0.522094823872347,0.019615694030944937
momentum_stoch_rsi_k,0.06843222561129078,0.19723170918588603,-0.0009424452994219696
momentum_stoch_rsi_d,0.07369024214277792,0.06363605059811984,-0.009924704008874952
momentum_tsi,0.003068459528269946,0.0789593577799559,0.018776579781788386
momentum_uo,0.07431404248613668,0.2790948305192582,0.00931069514678974
momentum_stoch,0.04956762255681671,0.4564390006097175,0.02642801399049831
momentum_stoch_signal,0.053863905197337365,0.1695752385884836,0.0023442863592079114
momentum_wr,0.04956762255681671,0.4564390006097175,0.02642801399049831
momentum_ao,0.1918961603232628,0.04739714653894075,0.017899978134694315
