,Price,Returns,Lagged_Returns
SMA_20,0.9965486143530482,-0.05167363529744869,-0.052027363016937535
EMA_20,0.9975149651796031,-0.05147160426695397,-0.052314355713218436
RSI_14,0.021500969674308364,0.1259320427472271,-0.05462549802033625
MACD,0.08343204953200485,-0.011129999567922497,-0.033673713628737965
MACD_Signal,0.08656865995532301,-0.027327415678671457,-0.031183901452508992
Stoch_K,0.034620253542316806,0.1760300277875467,-0.021922117560698326
Stoch_D,0.0374504362554059,0.03803468509540976,-0.04162744092040094
BB_Upper,0.9956303367139709,-0.05100122556572744,-0.05130665812095001
BB_Middle,0.9965486143530482,-0.05167363529744869,-0.052027363016937535
BB_Lower,0.9950701156125594,-0.052277022462653304,-0.05268253106328526
ATR_14,0.849180286594424,-0.03932856230729113,-0.04077128053460073
OBV,0.9550975720429683,-0.041037744447841126,-0.05104446209560248
CCI_20,0.01303845698624015,0.11748064096459228,-0.03240869916077578
WilliamsR_14,0.03462025354231679,0.17603002778754667,-0.021922117560698326
ROC_12,0.013329030607920244,0.09064691015923279,-0.03846064419114448
AD_Line,-0.8745709840419816,0.04447724345508976,0.030667386922632628
CMF_20,-0.0579046324846001,0.05508051492041613,-0.01940737729484364
PSAR,0.9931462686387075,-0.055474138256072926,-0.052168071130251736
VWAP,0.9977841193773597,-0.05202765519663552,-0.05276040399532619
KC_Upper,0.9963295384033634,-0.05166174444574493,-0.05190352775719692
KC_Lower,0.9964178273026891,-0.051836338297507584,-0.05203978563913427
