Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2015-06-16,1060.6395263671875,1063.7218194927925,1053.229384855729,1055.5727770374078,1267396
2015-06-17,1061.39892578125,1067.8800769133693,1056.3321794760645,1064.4389529477178,1975720
2015-06-18,1068.2607421875,1075.1219649797476,1058.9505700281334,1061.9061736924864,2165046
2015-06-19,1076.494140625,1078.7952684282814,1067.0151186677926,1070.3506870707215,1999610
2015-06-22,1094.20703125,1097.7959796449932,1075.417830829153,1075.417830829153,1102002
2015-06-23,1087.0709228515625,1101.1733314924325,1083.9463661193035,1097.7954991872411,898318
2015-06-24,1085.2554931640625,1092.686663589252,1080.420990510801,1089.3510948808737,1170246
2015-06-25,1076.684326171875,1086.3955965647979,1074.2142444255774,1081.7510759420957,1930992
2015-06-26,1094.7554931640625,1096.254426896861,1076.7684945370054,1076.7684945370054,1290102
2015-06-29,1094.797607421875,1099.4843908743435,1073.8972704985724,1085.9730619542286,1372756
2015-06-30,1077.0855712890625,1093.0458558756307,1072.4621821049163,1091.4624963548065,1549952
2015-07-01,1094.882080078125,1101.1732510536808,1079.5340144292556,1082.552910598191,1279708
2015-07-02,1088.4005126953125,1099.0406600235506,1085.5715997710558,1097.7951054244254,1445880
2015-07-03,1099.442626953125,1102.0182664336678,1085.1290975994355,1086.4169173397067,963470
2015-07-06,1111.8560791015625,1116.7961397078082,1089.4779333909712,1089.4779333909712,1182338
2015-07-07,1104.6566162109375,1117.5978937686032,1099.0620819864578,1111.6233946791574,1642836
2015-07-08,1095.7266845703125,1106.9579158160957,1089.562099006259,1096.9299755520387,2667850
2015-07-09,1065.0723876953125,1097.0562264932985,1058.3800184759086,1095.683982584474,3934122
2015-07-10,1044.74267578125,1080.4843299485403,1036.5725009861926,1080.4843299485403,8263654
2015-07-13,1059.604736328125,1063.425929137872,1045.1855550975931,1045.1855550975931,2280308
2015-07-14,1055.3612060546875,1061.905754441904,1051.3500312367162,1060.216838729074,1703274
2015-07-15,1074.8897705078125,1076.6631121758005,1055.5727884786531,1055.9950175940446,2003660
2015-07-16,1072.54638671875,1080.421021632574,1066.8041325543254,1074.024188634219,1456608
2015-07-17,1082.763916015625,1085.1707035813924,1073.8549467089838,1075.3327480856688,1070526
2015-07-20,1091.3323974609375,1093.3422957158737,1079.8019285247249,1084.9219211907994,853786
2015-07-21,1083.822509765625,1100.3037700330385,1081.1568306886516,1090.0003480915111,1274500
2015-07-22,1069.7108154296875,1087.0382436110156,1066.7488583626275,1083.6531498200898,1320628
2015-07-23,1053.018310546875,1073.857798515744,1050.648703080237,1065.2469230787342,1496780
2015-07-24,1060.02099609375,1064.823639565138,1054.499144107675,1056.784041253301,1574972
2015-07-27,1056.5933837890625,1059.9572994677217,1049.8654491268992,1052.7639764773219,2003738
2015-07-28,1058.7088623046875,1065.8810064149545,1054.5197483315153,1057.6298434038026,1891188
2015-07-29,1060.69775390625,1064.2098086182493,1050.8598271970368,1062.4960845950309,2413318
2015-07-30,1049.6539306640625,1064.9503831443399,1046.332369814211,1064.6330306443945,2770574
2015-07-31,1062.3900146484375,1065.8808909287718,1052.3405223262625,1053.5675769089394,1963776
2015-08-03,1061.903564453125,1068.4198262297846,1058.2221936951264,1059.280035107235,1179324
2015-08-04,1061.607421875,1067.5736895236432,1051.917634623772,1062.2421268033731,2342692
2015-08-05,1077.792236328125,1078.9982168335741,1062.4958911643548,1066.304120164944,988994
2015-08-06,1088.857421875,1092.9618261904357,1079.0406735202414,1085.3453674713387,2211366
2015-08-07,1079.8662109375,1088.730905578456,1077.7293495951526,1088.730905578456,1188506
2015-08-10,1088.3497314453125,1095.5006989344986,1081.791113896651,1088.3073764617732,1431182
2015-08-11,1101.93212890625,1104.3863414370735,1075.655412420465,1090.845972499914,2200306
2015-08-12,1130.4937744140625,1138.8295428622737,1101.0011808156655,1101.466672290894,3479784
2015-08-13,1115.2188720703125,1135.698642331404,1081.5371571531552,1129.774729890033,1406426
2015-08-14,1143.8228759765625,1150.6565942855586,1115.8536077331626,1116.2343893643845,2293964
2015-08-17,1136.0157470703125,1141.1145626850684,1123.4274358773366,1138.2795687244195,773644
2015-08-18,1159.7752685546875,1163.5834986210489,1138.2376531679852,1145.3886216373228,1916926
2015-08-19,1156.6865234375,1164.8319049054267,1151.7357414079124,1163.6259239895305,1690070
2015-08-20,1136.904296875,1161.5096419573847,1130.6206788015054,1161.5096419573847,2349298
2015-08-21,1132.376708984375,1155.1202959764958,1123.4697682573553,1147.5461939094157,3536080
2015-08-24,1091.1212158203125,1119.1963721874808,1087.0803436988197,1116.6575524396076,4692344
2015-08-25,1086.2550048828125,1109.464087080551,1072.8627737577183,1095.0350887145903,3925800
2015-08-26,1090.3172607421875,1116.6575147370265,1062.8979877299662,1082.4046267894441,3216158
2015-08-27,1089.4287109375,1106.4599607300709,1077.2212808330607,1106.4599607300709,5264798
2015-08-28,1087.82080078125,1103.9634212145218,1082.256492347995,1103.9634212145218,2744152
2015-08-31,1084.943603515625,1095.9239794830662,1070.9800933523272,1095.9239794830662,3692044
2015-09-01,1073.6666259765625,1104.8941236008075,1070.5354568712783,1081.5370070209435,2987602
2015-09-02,1096.685791015625,1108.8086169367766,1078.1523816898114,1083.1030607406792,3765950
2015-09-03,1102.5244140625,1106.5018555099077,1090.1053174980495,1098.5046176466897,2265074
2015-09-04,1077.9193115234375,1106.4598545460908,1074.4072570807948,1104.978876445384,2426396
2015-09-07,1074.66064453125,1083.207978932615,1071.6775123262655,1080.267201688466,1759184
2015-09-08,1074.894287109375,1084.9649622369361,1067.785569177869,1076.8830091371813,1787746
2015-09-09,1078.892578125,1089.1536409819591,1076.459542602216,1084.4779607511196,2045076
2015-09-10,1077.0521240234375,1091.0579902345664,1069.2664499991272,1075.6135005531385,2665818
2015-09-11,1079.844482421875,1086.7838805637857,1075.0207670433301,1077.5172313821727,1592672
2015-09-14,1079.696533203125,1085.3454484967697,1076.036442700696,1085.3454484967697,1589318
2015-09-15,1073.6033935546875,1082.7642600938057,1073.0744727774904,1079.6965195860623,1379900
2015-09-16,1079.1466064453125,1085.3455171021442,1075.2114149036217,1081.1141505637343,1756816
2015-09-18,1079.5269775390625,1094.230970667718,1074.3435555009034,1085.345104316588,2455294
2015-09-21,1079.4427490234375,1082.0027463632614,1071.889718657275,1078.998434889279,1108840
2015-09-22,1069.1817626953125,1088.4767329416109,1053.610312516033,1082.172037855323,2081246
2015-09-23,1071.65673828125,1082.277506970971,1063.1729331273286,1072.354975569197,1228352
2015-09-24,1091.8614501953125,1095.9236021661948,1070.4930556357015,1072.862661502852,2354254
2015-09-28,1097.4892578125,1108.194633273703,1091.480739415623,1097.6162194394751,2366812
2015-09-29,1095.183349609375,1114.5418498487759,1087.3976771738246,1093.1100215067625,3325952
2015-09-30,1095.0982666015625,1118.645767787168,1087.8625922719427,1118.645767787168,3368336
2015-10-01,1119.0274658203125,1121.2911854002239,1096.8550386238567,1099.7323891217013,2834408
2015-10-05,1147.3983154296875,1172.088377261811,1122.4544336214904,1122.4544336214904,4807306
2015-10-06,1142.46875,1153.4703009259258,1135.6985648148147,1153.0471643518517,3979590
2015-10-07,1122.9835205078125,1149.6623076378912,1120.0215638815832,1139.908986943409,2065530
2015-10-08,1114.45703125,1133.307784624815,1108.6177263813786,1129.774553220718,2357550
2015-10-09,1112.7012939453125,1121.5660897540051,1103.5404264358356,1121.5237347654072,2249724
2015-10-12,1097.0240478515625,1125.6915540007496,1094.6544414457087,1123.4277317504277,2455912
2015-10-13,1099.5418701171875,1105.2330379556433,1086.4458101791054,1101.340201055668,6179712
2015-10-14,1050.944580078125,1078.1522900041136,1049.3789949804561,1078.1522900041136,8337128
2015-10-15,1044.1954345703125,1059.3225693229774,1043.0318088201075,1053.610224731062,3215710
2015-10-16,1045.9937744140625,1054.4565072167654,1045.1475011337923,1049.7596491893278,2333828
2015-10-19,1053.0811767578125,1055.7046029259368,1039.1600244221527,1053.610097489484,3130642
2015-10-20,1069.160400390625,1070.5355943359182,1055.9797366676714,1056.2547341347968,2695084
2015-10-21,1070.535400390625,1075.6130386533473,1067.2560923459503,1072.6510830000927,1929688
2015-10-23,1075.89990234375,1080.5009781406493,1071.722988545408,1080.5009781406493,2335398
2015-10-26,1075.645751953125,1080.9252602743734,1066.5497166242385,1080.9252602743734,1414630
2015-10-27,1073.3349609375,1079.1868878679752,1068.7763301505302,1072.8896786197593,1530420
2015-10-28,1072.4862060546875,1074.3732453434352,1064.4078723375817,1064.4078723375817,1255342
2015-10-29,1058.1741943359375,1075.1576508249937,1055.9266640579576,1074.3732048847728,3130316
2015-10-30,1058.111083984375,1065.192842473774,1053.7857066189292,1060.1465861357437,1516696
2015-11-02,1067.503662109375,1069.8147601325345,1054.8666986275455,1060.1462060275824,1319294
2015-11-03,1078.571533203125,1080.4162290252398,1067.991294706042,1072.0198503144231,1364906
2015-11-04,1074.4791259765625,1080.1614667615597,1068.6270997244771,1079.2285590471406,991434
2015-11-05,1052.788818359375,1074.9670991366681,1051.6651047199243,1073.207297732266,1596098
2015-11-06,1062.5845947265625,1067.8853260182245,1053.1280693962558,1056.7537903057344,908024
2015-11-09,1047.9969482421875,1061.312342877112,1046.8307874419029,1058.025889712674,2021556
2015-11-10,1042.399169921875,1050.3927125984574,1038.9431351902383,1048.6752552812468,1361920
2015-11-13,1016.637451171875,1033.8754852901031,1012.0364801728648,1033.8754852901031,2743232
2015-11-16,1006.9693603515625,1013.4998198709857,999.0818308016914,1013.4998198709857,2043528
2015-11-17,1013.732666015625,1017.0826854256427,1007.1385382486972,1009.4708590741152,1985028
2015-11-18,997.15234375,1013.033313942773,994.8412456202482,1013.033313942773,1520352
2015-11-19,1001.8594360351562,1009.9377712157609,997.3855981266931,1003.0468205484315,1866906
2015-11-20,1017.0409545898438,1027.727210287253,1001.605159889205,1003.5346471680258,2012126
2015-11-23,1013.9453735351562,1023.4230214758437,1010.2136370118936,1019.988208807449,1088082
2015-11-24,1004.1488037109375,1014.5382317808775,1003.1098816099146,1009.2799504145644,998640
2015-11-26,994.6503295898438,1010.2768215348636,991.3851001931154,1008.3685584878268,2915292
2015-11-27,997.9581909179688,1000.5448858535758,989.1165290852406,995.6894363524738,1737206
2015-11-30,1006.523681640625,1014.0294934633715,996.600654484736,1002.8979621707783,4100048
2015-12-01,1001.5833740234375,1008.4319784840845,999.5267531467954,1002.0074323728322,1721994
2015-12-02,1002.983154296875,1008.4535711237397,995.053280967446,1008.4111238613197,1640296
2015-12-03,996.8555297851562,1006.2908315134216,995.265310392752,1000.7780709530869,2283358
2015-12-04,987.37744140625,995.392206507022,984.281898210318,992.2965597812171,1246092
2015-12-07,983.7310791015625,993.9508283929256,981.801591926184,988.9893638918974,1382604
2015-12-08,987.6320190429688,996.1131870897096,982.6705564416021,983.5610169685798,1139964
2015-12-09,1004.0221557617188,1006.2061193496683,983.8158078444661,991.406414260265,5282806
2015-12-10,1011.1884155273438,1014.0083622999823,997.3852947599584,1004.5942871115396,1723988
2015-12-11,1011.8036499023438,1014.3267774431836,1002.1563183703746,1010.5314743157105,1652378
2015-12-14,1008.6018676757812,1012.2275883736321,988.310731593606,990.2613384771388,2718532
2015-12-15,1007.4996948242188,1011.3797897123994,1002.071723884136,1008.6021850975587,1135868
2015-12-16,1021.302490234375,1023.8892885982756,1010.9555038385955,1010.9555038385955,1435934
2015-12-17,1034.5965576171875,1036.8228643811963,1014.9202878196191,1024.1011114440037,1618844
2015-12-18,1024.86474609375,1032.2433236083566,1018.0161382479699,1026.2217127765612,3024970
2015-12-21,1037.4166259765625,1038.9432779193437,1020.6451958855008,1026.200299865822,1610104
2015-12-22,1019.8817138671875,1034.7025347969284,1017.7401981609132,1034.7025347969284,1560858
2015-12-23,1028.68115234375,1032.5824699224854,1022.2142600783217,1024.1012997383173,849834
2015-12-24,1032.26416015625,1033.9391701302025,1019.4363935567936,1026.6453863564882,843160
2015-12-28,1044.328857421875,1045.8978531811847,1026.306370996231,1029.6140480344484,3704198
2015-12-29,1041.4027099609375,1045.4312650337945,1037.1409020463057,1042.4840796601559,1708524
2015-12-30,1025.5003662109375,1042.759520984453,1022.9560160174008,1040.2363944151707,1605762
2015-12-31,1033.366943359375,1038.3071832153164,1020.9207856201243,1024.4192680630592,1240318
2016-01-01,1024.6949462890625,1034.2787100657192,1022.9351448774215,1034.2787100657192,712262
2016-01-04,1004.8487548828125,1023.676905097342,1003.3433269634589,1022.0442389610237,1870184
2016-01-05,996.0922241210938,1012.0580892649621,992.7209796463035,1011.3795542317104,2678020
2016-01-06,1009.937744140625,1011.8671274518266,996.6222453978583,996.6222453978583,2653228
2016-01-07,1005.5485229492188,1010.4887621033613,1000.7778657501977,1005.0184499271054,3199580
2016-01-08,1016.7222900390625,1020.8568587428139,1006.07838457951,1011.3791136868837,1907544
2016-01-11,1001.774658203125,1010.9554834931862,996.0498683427398,1010.3193957309212,2930228
2016-01-12,986.8053588867188,1002.898358349603,976.0130907047521,1001.9230030879326,3482594
2016-01-13,966.513916015625,986.7839289010041,956.2941703610968,982.5433447630539,4746092
2016-01-14,966.3444213867188,974.8679341563025,954.131517259814,963.8848616584698,2742052
2016-01-15,958.8385009765625,971.8146260518907,956.2517032940574,970.606121715547,3269408
2016-01-18,965.8566284179688,971.8994609625108,958.3720386431755,959.2201554915323,2213922
2016-01-19,966.5565795898438,975.3345700139878,961.8919359941248,965.581224313848,967910
2016-01-20,966.8956909179688,968.9735358630046,951.1630813744943,964.2241020387137,1615954
2016-01-21,958.3512573242188,973.3991796663289,954.63177473314,971.3163109274072,2675536
2016-01-22,975.8861083984375,978.5641570246377,960.6893629447757,966.2154522006526,1343178
2016-01-25,979.6695556640625,994.2712289480146,974.0797439651028,978.5005749545255,1397560
2016-01-27,986.087890625,990.4237235102471,969.9984314342242,978.5426551217803,1626986
2016-01-28,990.955078125,998.479038687678,981.114432206101,984.281284942968,3106660
2016-01-29,1016.5027465820312,1020.2009542852738,992.5917867159701,1002.6449754409065,2235744
2016-02-01,1021.3489990234375,1025.7061087136774,1002.7728545635357,1016.4180883738477,1495274
2016-02-02,1019.3938598632812,1034.2292481749773,1011.5722529315736,1024.0272333964326,1475588
2016-02-03,1027.130126953125,1032.9112050418425,1003.3254313660553,1014.8876913237275,1308692
2016-02-04,1028.724365234375,1037.2047687143286,1021.0515796933678,1029.5107082211903,1250046
2016-02-05,1029.531494140625,1037.1830010949964,1023.6441468910788,1023.6441468910788,1402996
