,Price,Returns,Lagged_Returns
volume_adi,0.9080437277596215,0.016075954302818305,-0.02967836164919385
volume_obv,0.9767460505743207,0.023106221336260113,-0.006717526267738368
volume_cmf,0.1869892658123455,0.15029122410024054,0.006950477203919956
volume_fi,0.16709853694689686,0.3218610549961657,-0.01886396677438702
volume_em,0.06864947033491565,0.5874154590209347,-0.02483677062837861
volume_sma_em,0.07243292977292085,0.1336360366932464,-0.01206050024305833
volume_vpt,0.9692221639940803,0.018379436074308288,-0.0035267318970829465
volume_vwap,0.9963531998383459,-0.009777368116659009,-0.012800883060864729
volume_mfi,0.10718215152899423,0.16181985737394933,-0.006494346545910331
volume_nvi,-0.8663582773104593,-0.0041772324411715,-0.027539850024401673
volatility_bbm,0.9940521382558462,-0.011668312206077332,-0.0135424768662011
volatility_bbh,0.9909662188757502,-0.01174863893988534,-0.013427802252287466
volatility_bbl,0.9916704082508295,-0.011719049702358693,-0.012936031853337646
volatility_bbw,0.009786738087892233,-0.004365061102587702,-0.018646831151432258
volatility_bbp,0.10711546089953768,0.41665981108044836,-0.021039664239585427
volatility_bbhi,0.044387419167932506,0.2932136283745685,-0.035863360996171
volatility_bbli,-0.04187373321162643,-0.23366687423361507,-0.007305218278355909
volatility_kcc,0.9969880749209366,-0.010095047315441977,-0.012582908998441387
volatility_kch,0.9967645044098756,-0.01029854024066955,-0.012589735459663584
volatility_kcl,0.9969525125410914,-0.009925561167982669,-0.01268006058591092
volatility_kcw,-0.17431862269362297,0.010770590885532309,0.017942366468061622
volatility_kcp,0.09391174057567708,0.48149889482803504,-0.03827776912735051
volatility_kchi,0.0796925717858739,0.3440719304737652,-0.01632938327768044
volatility_kcli,-0.03694554897092527,-0.2937203767421318,0.009500422115203066
volatility_dcl,0.9930490688676299,-0.00983272755202163,-0.01364794508775142
volatility_dch,0.9918142315394292,-0.00995790713616715,-0.013854415197883078
volatility_dcm,0.9945373634369403,-0.009165374396418562,-0.013216599033037285
volatility_dcw,-0.026553512753839797,0.0037065371246908585,-0.00504253717467863
volatility_dcp,0.11849376658843831,0.40284647797175555,-0.017579341646288375
volatility_atr,0.8972310523305578,-2.7622730238782902e-05,0.0006330614486313345
volatility_ui,-0.13103968846688935,-0.03606356597275874,0.0066132053740214835
trend_macd,0.3047795422404449,0.06615912567443266,0.008503995266147781
trend_macd_signal,0.3204899556260096,0.028947152186817586,0.018297423370879192
trend_macd_diff,0.025423653099099625,0.14674687443908585,-0.025917803515401558
trend_sma_fast,0.9965793920254653,-0.009667573378572361,-0.013006714028714188
trend_sma_slow,0.9920196864113282,-0.012904402063613615,-0.014409934574295905
trend_ema_fast,0.997493973910464,-0.007518180179135115,-0.013774199990055382
trend_ema_slow,0.9940890553865876,-0.011577924473024715,-0.014600537492706957
trend_vortex_ind_pos,0.08844692472308771,0.14858467040767323,-0.011002017391545037
trend_vortex_ind_neg,-0.11905352731559868,-0.14170428885597178,0.011799566464190557
trend_vortex_ind_diff,0.11037741211874892,0.1513483597661958,-0.01104130169095328
trend_trix,0.18437736639334565,0.02492464710504639,0.0162467273398195
trend_mass_index,0.05216581574981644,-0.0010046797261224832,-0.004364360039102663
trend_dpo,-0.05053836044892078,-0.021755289036046465,0.003668371852598858
trend_kst,0.18501548151229852,0.03385224428035961,0.01716793066104595
trend_kst_sig,0.18946937121088042,0.021906606093733023,0.019825109760936835
trend_kst_diff,-0.013986785659334675,0.05032133605268351,-0.0022776905883953877
trend_ichimoku_conv,0.9975187610843548,-0.0070229443483793685,-0.012210001581644772
trend_ichimoku_base,0.9928140310742345,-0.010063952938702998,-0.01328636560995061
trend_ichimoku_a,0.9960770630879198,-0.008788113465814734,-0.012967905087686233
trend_ichimoku_b,0.9858295311530214,-0.012426772774970297,-0.015146321049226143
trend_stc,-0.026826931025104164,0.08212012065290157,-0.006370762148843293
trend_adx,0.03180100304392496,-0.0292167181593986,-0.03386355201514316
trend_adx_pos,0.23692265254519254,0.20597920437675782,0.006855662760156433
trend_adx_neg,-0.07289823078973871,-0.17939252553556104,0.02555302574568438
trend_cci,0.10383409866969237,0.3060446857033933,-0.01903664327471763
trend_visual_ichimoku_a,0.9606357291531928,-0.015003109679261628,-0.014253725220348661
trend_visual_ichimoku_b,0.9477692855384393,-0.01896402700718162,-0.01846788468450428
trend_aroon_up,0.16822293634073285,0.09481492157347034,0.009771994112511211
trend_aroon_down,-0.07006753665136169,-0.0739575807055748,-0.025651199916607043
trend_aroon_ind,0.13055103797830894,0.08233311623734829,0.01980632893352202
trend_psar_up,0.9894606758090376,-0.018126250134792764,-0.013388985034124596
trend_psar_down,0.9909563791447834,-0.013865765706984263,-0.00889287514124182
trend_psar_up_indicator,0.00799258273303331,0.19619010218622485,0.005547047357758768
trend_psar_down_indicator,0.0048441149621405045,-0.19498148793345663,0.0382688284611929
momentum_rsi,0.16700018202498684,0.33175390165263907,-0.015435475076816101
momentum_stoch_rsi,0.03315060045982138,0.5148559623696708,-0.027675812173265247
momentum_stoch_rsi_k,0.036154472512195765,0.17139529787898244,-0.025792012190509524
momentum_stoch_rsi_d,0.036591511489743496,0.04591728891411725,-0.013923954072250652
momentum_tsi,0.1797171754774313,0.06418971214579554,0.0027391419018225087
momentum_uo,0.18366365295992773,0.28085153249203404,-0.02913936403234312
momentum_stoch,0.10190945309476517,0.45845226085573887,-0.027878958186524333
momentum_stoch_signal,0.10935229452332403,0.14597357726620622,-0.024351666058871527
momentum_wr,0.10190945309476517,0.45845226085573887,-0.027878958186524333
